ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1_3;1.3_1;theory;Сюжет №2: <b>шины</b>.<br><br>Страшная на вид маркировка <code>195/65 R15</code> — на самом деле просто три числа с понятным смыслом. Сегодня научишься её читать.<br><br>Это 5 заданий ОГЭ, если такой сюжет выпадет. 🎯;;;;;;;;;;;;;
2;2;1_3;1.3_2;theory;💡 Маркировка <code>195/65 R15</code> — это три числа подряд:<br><b>195</b> — ширина шины в <b>мм</b>.<br><b>65</b> — высота боковины в <b>процентах</b> от ширины.<br><b>R</b> — радиальный тип (не цифра, для расчётов не нужно).<br><b>15</b> — диаметр диска в <b>дюймах</b>.;;;;;;;;;;;;;
3;3;1_3;1.3_3;theory;⚡ <b>Ловушка</b>: разные числа — разные единицы.<br><br><b>195</b> и высота уже в <b>мм</b>. А <b>15</b> — в <b>дюймах</b>. Не путать.<br><br>Перевод: <code>1 дюйм = 25,4 мм</code>. Чтобы получить мм — <b>умножаем</b> на 25,4.;;;;;;;;;;;;;
5;5;1_3;1.3_5;example;👇 Разберём:<br><br><i>«Для шин маркировки <code>195/65 R15</code> найдите диаметр диска в миллиметрах.»</i>;;;;;;;;;;;;;
6;6;1_3;1.3_6;example;Разбираем по шагам.<br><br><b>1. Что в условии:</b> ширина <code>195 мм</code>, высота <code>65%</code>, диск <code>15 дюймов</code>.<br><b>2. Что в вопросе:</b> диаметр диска в <code>мм</code>. Спросили мм, а в условии диск в дюймах — главная ловушка.<br><b>3. Как связать:</b> <code>15 × 25,4 = 381 мм</code>.<br><b>4. Проверка:</b> ответ в мм, как просили. ✅;;;;;;;;;;;;;
7;7;1_3;1.3_Q1;training;✏️ <b>Вопрос 1 из 4.</b><br><br>В маркировке <code>205/55 R16</code> что означает число <b>55</b>?<br><br>А) Ширина шины в мм<br>Б) Высота боковины в процентах от ширины<br>В) Диаметр диска в дюймах<br>Г) Тип конструкции;Ширина шины в мм;Высота боковины в процентах от ширины;Диаметр диска в дюймах;Тип конструкции;B;Ширина — это <b>первое</b> число (205), оно в мм. А 55 идёт вторым.;✅ Точно. Второе число всегда — высота боковины в процентах от ширины.;Диаметр диска — <b>третье</b> число после R (тут 16), и оно в дюймах.;Тип конструкции — это <b>буква</b> R, не цифра.;1.3_2;;1.3_2;1.3_2
8;8;1_3;1.3_Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br>Для шин <code>175/70 R13</code> найдите высоту боковины в мм.<br><br>А) <code>122,5 мм</code><br>Б) <code>70 мм</code><br>В) <code>245 мм</code><br>Г) <code>12,25 мм</code>;122,5 мм;70 мм;245 мм;12,25 мм;A;✅ Так и есть. 70% от 175: <code>175 × 0,7 = 122,5 мм</code>.;70 — это число процентов, не сам ответ в мм. Нужно взять <b>70% от ширины 175</b>.;245 = 175 + 70. Тут не сложение: 70 — это процент, а не миллиметры.;Потерян разряд. Умножать надо на 0,7, не на 0,07. Получается 122,5, не 12,25.;;1.3_2;1.3_2;1.3_2
9;9;1_3;1.3_Q3;training;✏️ <b>Вопрос 3 из 4 — главная ловушка.</b><br><br>Для шин <code>175/70 R13</code> найдите диаметр диска в миллиметрах.<br><br>А) <code>13 мм</code><br>Б) <code>330,2 мм</code><br>В) <code>33,02 мм</code><br>Г) <code>0,5 мм</code>;13 мм;330,2 мм;33,02 мм;0,5 мм;B;Записал число из маркировки как есть. Но в маркировке диаметр в <b>дюймах</b>, а спрашивают в мм. Это та самая ловушка из шага «что в вопросе».;✅ Точно. <code>13 × 25,4 = 330,2 мм</code>. Перевёл дюймы в мм правильно.;Потерян разряд. <code>13 × 25,4 = 330,2</code>, не 33,02.;Поделил вместо умножения: 13 ÷ 25,4 ≈ 0,5. Перевод дюймы→мм — это <b>умножение</b> на 25,4.;1.3_3;;1.3_3;1.3_3
10;10;1_3;1.3_Q4;main_question;🎯 <b>Главный вопрос урока.</b><br>От него зависит, засчитан ли урок.<br><br>Для шин <code>185/60 R14</code> найдите диаметр диска в миллиметрах.<br><br>А) <code>14 мм</code><br>Б) <code>355,6 мм</code><br>В) <code>185 мм</code><br>Г) <code>35,56 мм</code>;14 мм;355,6 мм;185 мм;35,56 мм;B;Это число дюймов из маркировки. Спросили <b>мм</b> — нужно перевести: умножить на 25,4.;✅ Урок засчитан. <code>14 × 25,4 = 355,6 мм</code>.;185 — это ширина шины (первое число), а не диаметр диска. Диаметр диска — третье число.;Потерян разряд. <code>14 × 25,4 = 355,6</code>, не 35,56.;1.3_3;;1.3_2;1.3_3
11;11;1_3;1.3_Q4b;main_question_backup;Попробуем проще — без перевода единиц.<br><br>Для шин <code>205/55 R16</code> найдите <b>ширину шины</b> в миллиметрах.<br><br>А) <code>205 мм</code><br>Б) <code>55 мм</code><br>В) <code>16 мм</code><br>Г) <code>406,4 мм</code>;205 мм;55 мм;16 мм;406,4 мм;A;✅ Верно. Ширина — это <b>первое</b> число маркировки. И оно уже в мм, переводить не надо.;55 — высота боковины в процентах, не ширина. Ширина всегда первое число.;16 — диаметр диска в дюймах. Ширина — первое число (205), не третье.;Это диаметр диска в мм (<code>16 × 25,4 = 406,4</code>). Спрашивают ширину шины — первое число.;;1.3_2;1.3_2;1.3_2
12;12;1_3;1.3_lf;lesson_failed;Без паники. Маркировка шин — самый «технический» сюжет в курсе.<br><br>Завтра вернёмся к нему с начала, и всё уложится. 💪;;;;;;;;;;;;;
13;13;1_3;1.3_final;final;🎓 <b>Готово.</b> Сюжет шин закрыт.<br><br>Запомни: <code>B / H% R d</code> — ширина в мм / процент высоты / диск в дюймах. Дюймы в мм — <b>×25,4</b>.<br><br>Как всегда — сначала смотрим, что дано и в каких единицах. Это спасает от половины ошибок.<br><br>⏰ Через час — короткое повторение.<br><br><b>День 3 ✓</b>;;;;;;;;;;;;;
