ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1_5;1.5_1;theory;Сюжет №4: <b>дачный участок</b>.<br><br>Тут на плане прямоугольник со сторонами в метрах. Считать площадь умеешь со школы — но ОГЭ любит спросить ответ в <b>сотках</b>. И вот тут многие плывут.<br><br>Разберёмся.;;;;;;;;;;;;;
2;2;1_5;1.5_2;theory;💡 Участок обычно прямоугольный. Площадь считается просто:<br><br><b>Площадь = длина × ширина</b><br><br>Например, участок <code>30 × 20</code> метров → площадь <code>30 × 20 = 600 м²</code>.<br><br>Это метры квадратные. Но дачи часто меряют в сотках. Дальше — про них.;;;;;;;;;;;;;
3;3;1_5;1.5_3;theory;⚡ Главное запомнить:<br><br><b>1 сотка = 100 м²</b> (это квадрат 10 на 10 метров).<br><br>Из м² в сотки → <b>делишь на 100</b>.<br>Из соток в м² → <b>умножаешь на 100</b>.<br><br>Те самые 600 м² — это <code>600 / 100 = 6 соток</code>. Знакомый дачный размер.;;;;;;;;;;;;;
4;4;1_5;1.5_4;example;👇 Разберём.<br><br><i>«Дачный участок имеет форму прямоугольника со сторонами <code>30 м</code> и <code>20 м</code>. Найдите его площадь в сотках.»</i>;;;;;;;;;;;;;
5;5;1_5;1.5_5;example;Сначала площадь в метрах: <code>30 × 20 = 600 м²</code>.<br><br>Но спрашивают в <b>сотках</b>. Переводим: <code>600 / 100 = 6 соток</code>.<br><br>Проверка: 6 соток — нормальный дачный участок, число правдоподобное. ✅;;;;;;;;;;;;;
6;6;1_5;1.5_Q1;training;✏️ <b>Вопрос 1 из 4.</b><br><br>Сколько квадратных метров в одной сотке?<br><br>А) <code>10 м²</code><br>Б) <code>100 м²</code><br>В) <code>1000 м²</code><br>Г) <code>10 000 м²</code>;10 м²;100 м²;1000 м²;10 000 м²;B;10 — это сторона квадрата. А площадь сотки = 10 × 10 = 100 м².;✅ Точно. 1 сотка = 100 м² — квадрат 10 на 10 метров.;1000 — это слишком много. Сотка = 100 м².;10 000 м² — это гектар (100 соток), а не сотка. Сотка = 100 м².;1.5_3;;1.5_3;1.5_3
7;7;1_5;1.5_Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br>Участок <code>25 × 12</code> метров. Найди площадь в <b>м²</b>.<br><br>А) <code>300 м²</code><br>Б) <code>37 м²</code><br>В) <code>74 м²</code><br>Г) <code>3 м²</code>;300 м²;37 м²;74 м²;3 м²;A;✅ Верно. Площадь = 25 × 12 = 300 м².;Это сумма сторон (25+12). Площадь — это умножение: 25 × 12.;Это периметр (2×(25+12)). А площадь = длина × ширина.;Похоже, поделил на 100 зря. Спрашивали в м² — просто 25 × 12, без перевода.;;1.5_2;1.5_2;1.5_3
8;8;1_5;1.5_Q3;training;✏️ <b>Вопрос 3 из 4 — будь внимателен.</b><br><br>Участок <code>8 соток</code>. Сколько это в квадратных метрах?<br><br>А) <code>8 м²</code><br>Б) <code>800 м²</code><br>В) <code>80 м²</code><br>Г) <code>80 000 м²</code>;8 м²;800 м²;80 м²;80 000 м²;B;Оставил число как есть, не перевёл. Эта ловушка с единицами — наша старая знакомая. 8 соток × 100 = 800 м².;✅ Точно. 8 соток × 100 = 800 м².;Умножил на 10, а надо на 100. Сотка ≠ 10 м². 1 сотка = 100 м².;Спутал с гектаром. Гектар = 10 000 м², сотка = 100 м². Тут сотки: 8 × 100 = 800.;1.5_3;;1.5_3;1.5_3
9;9;1_5;1.5_Q4;main_question;🎯 <b>Главный вопрос урока.</b><br>От него зависит, засчитан ли урок.<br><br><i>«Участок прямоугольный, стороны <code>40 м</code> и <code>25 м</code>. Найдите площадь в сотках.»</i><br><br>А) <code>1000 соток</code><br>Б) <code>10 соток</code><br>В) <code>65 соток</code><br>Г) <code>100 соток</code>;1000 соток;10 соток;65 соток;100 соток;B;Это площадь в м² (40×25=1000), но не перевёл в сотки. Делим на 100: 10 соток.;✅ Урок засчитан. 40 × 25 = 1000 м², делим на 100 → 10 соток.;Это сумма сторон (40+25). Площадь — умножение, потом перевод в сотки.;Поделил на 10, а надо на 100. 1000 / 100 = 10 соток.;1.5_3;;1.5_2;1.5_3
10;10;1_5;1.5_Q4b;main_question_backup;Попробуем проще — без перевода в сотки.<br><br><i>«Участок <code>15 × 10</code> метров. Найди площадь в <b>м²</b>.»</i><br><br>А) <code>150 м²</code><br>Б) <code>25 м²</code><br>В) <code>50 м²</code><br>Г) <code>1,5 м²</code>;150 м²;25 м²;50 м²;1,5 м²;A;✅ Верно. Площадь = 15 × 10 = 150 м².;Это сумма сторон (15+10). Площадь — умножение: 15 × 10.;Это периметр. Площадь = длина × ширина = 15 × 10.;Поделил на 100 зря. Спрашивали в м² — просто 15 × 10.;;1.5_2;1.5_2;1.5_3
