ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1_8;1.8_1;theory;Последний сюжет: <b>печь для бани</b>.<br><br>Хозяин строит баню, печь должна прогреть парное отделение. И первое, что нужно посчитать, — <b>сколько места</b> печь греет. То есть объём.<br><br>А объём — это почти то же, что площадь из прошлого сюжета. Поехали.;;;;;;;;;;;;;
2;2;1_8;1.8_2;theory;💡 Парное отделение — это комната-коробка. Её объём:<br><br><b>Объём = длина × ширина × высота</b><br><br>Помнишь, в прошлом сюжете площадь была длина × ширина? Тут добавляется третье — <b>высота</b>. Всё.<br><br>Ответ — в кубических метрах (м³).;;;;;;;;;;;;;
3;3;1_8;1.8_3;theory;⚡ Тут одна ловушка: не остановиться на площади.<br><br>Если перемножишь только длину и ширину — получишь <b>площадь пола</b>, а не объём.<br><br>Печь греет всю комнату, до потолка. Поэтому <b>обязательно × высоту</b>. Три числа, не два.;;;;;;;;;;;;;
4;4;1_8;1.8_4;example;👇 Разберём задание в стиле ОГЭ.<br><br><i>«Хозяин строит баню с парным отделением. Размеры: длина <code>3,5 м</code>, ширина <code>2 м</code>, высота <code>2 м</code>. Найдите объём парного отделения.»</i>;;;;;;;;;;;;;
5;5;1_8;1.8_5;example;Три измерения: длина <code>3,5</code>, ширина <code>2</code>, высота <code>2</code>.<br><br>Перемножаем все три: <code>3,5 × 2 × 2 = 14 м³</code>.<br><br>Удобно считать по шагам: сначала <code>3,5 × 2 = 7</code>, потом <code>7 × 2 = 14</code>.<br><br>Сверим: взяли все три числа, ответ в м³ — верно. ✅;;;;;;;;;;;;;
6;6;1_8;1.8_Q1;training;✏️ <b>Вопрос 1 из 4.</b><br><br>Как найти объём комнаты-коробки?<br><br>А) Длина × ширина<br>Б) Длина × ширина × высота<br>В) Длина + ширина + высота<br>Г) Длина × высота;Длина × ширина;Длина × ширина × высота;Длина + ширина + высота;Длина × высота;B;Это площадь пола — два измерения. Для объёма нужно ещё × высоту.;✅ Точно. Объём = все три измерения перемножить.;Объём — это умножение, не сложение. Длина × ширина × высота.;Не хватает ширины. Объём = все три: длина × ширина × высота.;1.8_2;;1.8_2;1.8_2
7;7;1_8;1.8_Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br>Парное отделение: длина <code>4 м</code>, ширина <code>3 м</code>, высота <code>2 м</code>. Найди объём.<br><br>А) <code>24 м³</code><br>Б) <code>12 м³</code><br>В) <code>9 м³</code><br>Г) <code>14 м³</code>;24 м³;12 м³;9 м³;14 м³;A;✅ Верно. 4 × 3 × 2 = 24 м³.;Это площадь пола (4×3). Забыл умножить на высоту: 12 × 2 = 24.;Это сумма (4+3+2). Объём — это умножение: 4 × 3 × 2.;Где-то потерял число. Перемножь все три: 4 × 3 × 2 = 24.;;1.8_3;1.8_2;1.8_2
8;8;1_8;1.8_Q3;training;✏️ <b>Вопрос 3 из 4 — будь внимателен.</b><br><br>Парное отделение: длина <code>5 м</code>, ширина <code>4 м</code>, высота <code>2 м</code>. Найди <b>объём</b>.<br><br>А) <code>20 м³</code><br>Б) <code>11 м³</code><br>В) <code>40 м³</code><br>Г) <code>80 м³</code>;20 м³;11 м³;40 м³;80 м³;C;Это площадь пола (5×4). Та самая ловушка — забыл высоту. Объём: 20 × 2 = 40.;Это сумма (5+4+2). Объём — умножение: 5 × 4 × 2 = 40.;✅ Точно. 5 × 4 × 2 = 40 м³.;Лишнее действие. 5 × 4 × 2 = 40, не 80.;1.8_3;1.8_2;;1.8_2
9;9;1_8;1.8_Q4;main_question;🎯 <b>Главный вопрос урока.</b><br>От него зависит, засчитан ли урок.<br><br><i>«Парное отделение: длина <code>6 м</code>, ширина <code>3 м</code>, высота <code>2 м</code>. Найдите объём.»</i><br><br>А) <code>18 м³</code><br>Б) <code>12 м³</code><br>В) <code>11 м³</code><br>Г) <code>36 м³</code>;18 м³;12 м³;11 м³;36 м³;D;Это площадь пола (6×3). Забыл высоту: 18 × 2 = 36.;Похоже, взял 6×2 и забыл ширину. Перемножь все три: 6 × 3 × 2 = 36.;Это сумма (6+3+2). Объём — умножение: 6 × 3 × 2 = 36.;✅ Урок засчитан. 6 × 3 × 2 = 36 м³.;1.8_3;1.8_2;1.8_2;
10;10;1_8;1.8_Q4b;main_question_backup;Попробуем на простых числах.<br><br><i>«Парное отделение: длина <code>2 м</code>, ширина <code>2 м</code>, высота <code>2 м</code>. Найди объём.»</i><br><br>А) <code>8 м³</code><br>Б) <code>4 м³</code><br>В) <code>6 м³</code><br>Г) <code>16 м³</code>;8 м³;4 м³;6 м³;16 м³;A;✅ Верно. 2 × 2 × 2 = 8 м³.;Это площадь (2×2). Забыл высоту: 4 × 2 = 8.;Это сумма (2+2+2). Объём — умножение: 2 × 2 × 2 = 8.;Лишнее действие. 2 × 2 × 2 = 8.;;1.8_3;1.8_2;1.8_2
