ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1;1.2_1;theory;Вчера учились читать любую задачу по шагам.<br><br>Сегодня — первый сюжет, на котором этот приём в деле: <b>тарифы мобильной связи</b>.<br><br>Поехали.;;;;;;;;;;;;;
2;2;1;1.2_2;theory;Любой тариф = <b>три части</b>:<br><br><b>1. Абонплата</b> — платишь каждый месяц. Всегда.<br><b>2. Лимит</b> — сколько уже включено (минуты, ГБ).<br><b>3. Сверх</b> — цена за то, что больше лимита.<br><br>Цепочка: <b>абонплата → лимит → сверх</b>.;;;;;;;;;;;;;
3;3;1;1.2_3;theory;"💡 <b>Алгоритм расчёта тарифа</b>:<br><br><b>Шаг 1.</b> Превысил лимит? Считаем: <code>использовано − лимит</code>.<br><br><b>Шаг 2.</b> Если ≤ 0 — платишь только абонплату. Стоп.<br><br><b>Шаг 3.</b> Если &gt; 0 — умножаем превышение на цену «сверх» и прибавляем к абонплате.";;;;;;;;;;;;;
4;4;1;1.2_4;example;👇 Разберём по шагам.<br><br><i>«Тариф «Базовый»: абонплата <code>300 ₽</code> в месяц, включено <code>200 минут</code>, сверх — <code>2 ₽/мин</code>. За месяц проговорили <code>250 минут</code>. Сколько заплатят?»</i>;;;;;;;;;;;;;
5;5;1;1.2_5;example;"Разбираем по шагам.<br><br><b>1. Что дано:</b> <code>300 ₽</code> абонплата, лимит <code>200 минут</code>, сверх <code>2 ₽/мин</code>, факт <code>250 минут</code>.<br><b>2. Что спрашивают:</b> сколько <b>заплатит</b> за месяц.<br><b>3. Как связаны:</b> 250 &gt; 200 → есть превышение. Сверх = 250 − 200 = 50 мин × 2 = 100 ₽. Итого: 300 + 100 = <b>400 ₽</b>.<br><b>4. Проверка:</b> чуть больше абонплаты — логично. ✅";;;;;;;;;;;;;
6;6;1;1.2_Q1;training;✏️ <b>Вопрос 1 из 3.</b><br><br><i>«Тариф «Смарт»: 400 ₽ в месяц, входит 5 ГБ интернета, дальше — 80 ₽ за каждый ГБ.»</i><br><br>Что здесь <b>лимит</b>?<br><br>А) 400 ₽<br>Б) 5 ГБ<br>В) 80 ₽<br>Г) Тариф «Смарт»;400 ₽;5 ГБ;80 ₽;Тариф «Смарт»;B;400 ₽ — это абонплата (платишь каждый месяц), не лимит. Лимит — то, что уже ВКЛЮЧЕНО в абонплату.;✅ Точно. Лимит — это сколько уже включено. Тут включено 5 ГБ.;80 ₽ — это цена «сверх», за каждый ГБ свыше лимита.;Это название тарифа, не его часть. Тариф = абонплата + лимит + сверх.;1.2_2;;1.2_2;1.2_2
7;7;1;1.2_Q2;training;✏️ <b>Вопрос 2 из 3.</b><br><br><i>«Тариф «Лёгкий»: абонплата <code>250 ₽</code>, включено <code>300 минут</code>, сверх — <code>1 ₽/мин</code>. За месяц — <code>280 минут</code>.»</i><br><br>Сколько заплатить за месяц?<br><br>А) <code>250 ₽</code><br>Б) <code>230 ₽</code><br>В) <code>530 ₽</code><br>Г) <code>580 ₽</code>;250 ₽;230 ₽;530 ₽;580 ₽;A;✅ Точно. 280 ≤ 300 — в лимит уложился. Шаг 2 алгоритма: стоп, платишь только абонплату 250 ₽.;Вычел «экономию» 20 минут из абонплаты: 250 − 20 = 230 — так не работает. Если в лимит уложился, платишь полную абонплату.;Посчитал ВСЕ 280 минут как «сверх»: 250 + 280×1 = 530. Но лимит ещё не превышен — за минуты в лимите доплачивать не надо.;Прибавил 280 + 300 + что-то ещё. Тут проще: не превысил → платишь только абонплату.;;1.2_3;1.2_3;1.2_3
8;8;1;1.2_Q3;training;✏️ <b>Вопрос 3 из 3.</b><br><br><i>«Тариф «Инет»: абонплата <code>300 ₽</code>, включено <code>10 ГБ</code>, сверх — <code>50 ₽/ГБ</code>. За месяц израсходовал <code>14 ГБ</code>.»</i><br><br>Сколько заплатить?<br><br>А) <code>300 ₽</code><br>Б) <code>700 ₽</code><br>В) <code>1 000 ₽</code><br>Г) <code>500 ₽</code>;300 ₽;700 ₽;1 000 ₽;500 ₽;D;"Учёл только абонплату. 14 &gt; 10 — есть перерасход 4 ГБ, надо доплатить. Шаг 3 пропускать нельзя.";Посчитал все 14 ГБ × 50 = 700 — все гигабайты как сверх. И забыл абонплату 300 ₽. Сверх считается только от превышения (4 ГБ).;300 + 14×50 = 1 000. Абонплату учёл, но умножил на сверх ВСЕ 14 ГБ. А «сверх» — только превышение (4 ГБ), остальные 10 уже в лимите.;✅ Так. Тариф работает одинаково и на минутах, и на ГБ: 14 − 10 = 4 ГБ сверх, 4 × 50 = 200 ₽ доплата, 300 + 200 = 500 ₽.;1.2_3;1.2_3;1.2_3;
9;9;1;1.2_Q4;main_question;🎯 <b>Финальный вопрос</b> — где сходятся все 4 шага.<br><br><i>«Тариф «Городской»: абонплата <code>320 ₽</code>, включено <code>400 минут</code>, сверх — <code>1,5 ₽/мин</code>. За месяц проговорил <code>460 минут</code>.»</i><br><br>Сколько заплатит за месяц?<br><br>А) <code>320 ₽</code><br>Б) <code>690 ₽</code><br>В) <code>410 ₽</code><br>Г) <code>1 010 ₽</code>;320 ₽;690 ₽;410 ₽;1 010 ₽;C;Учёл только абонплату. 460 больше 400, перерасход 60 минут — надо доплатить.;Посчитал 460 × 1,5 = 690 — все минуты как сверх. И забыл абонплату 320 ₽ — её платишь всегда. Сверх считается только от превышения (60 мин).;✅ Так. 460 − 400 = 60 мин сверх. 60 × 1,5 = 90 ₽. 320 + 90 = 410 ₽.;320 + 460×1,5 = 1 010. Абонплату учёл, но умножил на сверх ВСЕ 460 минут. А «сверх» — только превышение (60 мин), остальные 400 уже в лимите.;1.2_3;1.2_3;;1.2_3
10;10;1;1.2_Q4b;main_question_backup;Попробуем ещё раз.<br><br><i>«Тариф «Дача»: абонплата <code>200 ₽</code>, включено <code>500 минут</code>, сверх — <code>3 ₽/мин</code>. За месяц — <code>450 минут</code>.»</i><br><br>Сколько заплатить?<br><br>А) <code>200 ₽</code><br>Б) <code>150 ₽</code><br>В) <code>350 ₽</code><br>Г) <code>1 550 ₽</code>;200 ₽;150 ₽;350 ₽;1 550 ₽;A;✅ Верно. 450 ≤ 500 — в лимит уложился. Шаг 2: стоп, только абонплата 200 ₽.;Решил, что за неиспользованные 50 минут вернут — оператор не возвращает деньги за «недоиспользование».;Прибавил 50 × 3 = 150 за неиспользованные минуты. Но за минуты в лимите ничего НЕ доплачиваешь и НЕ получаешь обратно.;Посчитал 200 + 450×3 = ВСЕ минуты как сверх лимита. Но 450 ≤ 500 — превышения вообще нет.;;1.2_2;1.2_2;1.2_3
