ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1_4;1.4_1;theory;Сюжет №3: <b>квартира</b>.<br><br>Тут на картинке план: подписаны комнаты и их площади. Кажется просто — но ОГЭ ловит на одной хитрости. Сейчас покажу.<br><br>Поехали.;;;;;;;;;;;;;
2;2;1_4;1.4_2;theory;💡 Главное различие, на котором всё держится:<br><br><b>Жилая площадь</b> — только комнаты, где живут (спальни, зал).<br><b>Общая площадь</b> — ВСЁ: комнаты + кухня + санузел + коридор.<br><br>Кухня, ванная, коридор — НЕ жилые. Это и есть ловушка.;;;;;;;;;;;;;
3;3;1_4;1.4_3;theory;Площади комнат уже подписаны на плане — считать их не нужно. Твоя задача — <b>правильно сложить</b>.<br><br>Спросили жилую → складываешь только комнаты.<br>Спросили общую → складываешь всё.<br><br>Вся работа — понять, ЧТО спрашивают, и сложить нужное.;;;;;;;;;;;;;
4;4;1_4;1.4_4;example;👇 Разберём.<br><br><i>«На плане квартиры: комната <code>18 м²</code>, комната <code>14 м²</code>, кухня <code>9 м²</code>, санузел <code>4 м²</code>, коридор <code>5 м²</code>. Найдите жилую площадь.»</i>;;;;;;;;;;;;;
5;5;1_4;1.4_5;example;Как обычно — сначала смотрим, что дано и что спрашивают.<br><br>Спрашивают <b>жилую</b> → значит, только комнаты. Кухню, санузел, коридор не берём.<br><br>Складываем комнаты: <code>18 + 14 = 32 м²</code>.<br><br>Проверка: меньше общей площади — логично. ✅;;;;;;;;;;;;;
6;6;1_4;1.4_Q1;training;✏️ <b>Вопрос 1 из 4.</b><br><br>Что входит в <b>жилую</b> площадь квартиры?<br><br>А) Только комнаты (спальни, зал)<br>Б) Комнаты и кухня<br>В) Вообще всё помещение<br>Г) Только самая большая комната;Только комнаты (спальни, зал);Комнаты и кухня;Вообще всё помещение;Только самая большая комната;A;✅ Точно. Жилая — только комнаты, где живут.;Кухня НЕ жилая. Жилая — только комнаты. Кухня входит в общую площадь.;Всё помещение — это общая площадь. Жилая меньше: только комнаты.;Все комнаты, а не только большая. Складываем площади всех комнат.;;1.4_2;1.4_2;1.4_2
7;7;1_4;1.4_Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br><i>«Комната <code>20 м²</code>, комната <code>12 м²</code>, кухня <code>8 м²</code>, санузел <code>3 м²</code>, коридор <code>6 м²</code>.»</i><br><br>Найди <b>жилую</b> площадь.<br><br>А) <code>32 м²</code><br>Б) <code>49 м²</code><br>В) <code>20 м²</code><br>Г) <code>28 м²</code>;32 м²;49 м²;20 м²;28 м²;A;✅ Верно. Жилая = две комнаты: 20 + 12 = 32 м².;Это общая площадь — ты сложил всё (20+12+8+3+6). А спрашивали жилую — только комнаты.;Это только одна комната. Жилая = все комнаты: 20 + 12.;Похоже, сложил комнату и кухню (20+8). Кухня не жилая — бери только комнаты.;;1.4_2;1.4_3;1.4_2
8;8;1_4;1.4_Q3;training;✏️ <b>Вопрос 3 из 4 — будь внимателен.</b><br><br><i>«Комната <code>15 м²</code>, комната <code>11 м²</code>, кухня <code>10 м²</code>, санузел <code>4 м²</code>, коридор <code>5 м²</code>.»</i><br><br>Теперь найди <b>общую</b> площадь.<br><br>А) <code>26 м²</code><br>Б) <code>45 м²</code><br>В) <code>40 м²</code><br>Г) <code>30 м²</code>;26 м²;45 м²;40 м²;30 м²;B;Это жилая (только комнаты 15+11). А спрашивали ОБЩУЮ — нужно всё сложить.;✅ Точно. Общая = всё: 15+11+10+4+5 = 45 м².;Забыл коридор. Общая = ВСЁ: 15+11+10+4+5. Коридор тоже считается.;Не всё сложил. Общая площадь — это сумма ВСЕХ помещений на плане.;1.4_2;;1.4_3;1.4_3
9;9;1_4;1.4_Q4;main_question;🎯 <b>Главный вопрос урока.</b><br>От него зависит, засчитан ли урок.<br><br><i>«Трёхкомнатная квартира: комнаты <code>16 м²</code>, <code>13 м²</code>, <code>11 м²</code>, кухня <code>9 м²</code>, санузел <code>5 м²</code>, коридор <code>6 м²</code>.»</i><br><br>Найди <b>жилую</b> площадь.<br><br>А) <code>40 м²</code><br>Б) <code>60 м²</code><br>В) <code>27 м²</code><br>Г) <code>49 м²</code>;40 м²;60 м²;27 м²;49 м²;A;✅ Урок засчитан. Жилая = три комнаты: 16+13+11 = 40 м².;Это общая площадь — сложил всё. А спрашивали жилую: только комнаты 16+13+11.;Забыл одну комнату. Жилых комнат три: 16+13+11, а не две.;Добавил кухню к комнатам (40+9). Кухня не жилая — только три комнаты.;;1.4_2;1.4_3;1.4_2
10;10;1_4;1.4_Q4b;main_question_backup;Попробуем проще.<br><br><i>«Двухкомнатная квартира: комнаты <code>22 м²</code> и <code>14 м²</code>, кухня <code>10 м²</code>, санузел <code>4 м²</code>.»</i><br><br>Найди <b>жилую</b> площадь.<br><br>А) <code>36 м²</code><br>Б) <code>50 м²</code><br>В) <code>22 м²</code><br>Г) <code>46 м²</code>;36 м²;50 м²;22 м²;46 м²;A;✅ Верно. Жилая = две комнаты: 22 + 14 = 36 м².;Это общая (всё сложил). Жилая — только комнаты: 22 + 14.;Только одна комната. Складывай обе: 22 + 14.;Добавил кухню (22+14+10). Кухня не жилая — бери только комнаты.;;1.4_2;1.4_3;1.4_2
