ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1;1.9_1;theory;Ты прошёл <b>все 6 сюжетов</b>: тарифы, шины, квартира, участок, листы, печь. 🔥<br><br>Сегодня — особый урок. Нового не учим. Учимся <b>главному</b>: с ходу понимать, какой сюжет перед тобой и что с ним делать.<br><br>Именно это решает на экзамене.;;;;;;;;;;;;;
2;2;1;1.9_2;theory;💡 Заметил? В каждом сюжете ты делал одно и то же:<br><br>1. Смотрел, <b>что дано</b> (числа и единицы).<br>2. Смотрел, <b>что спрашивают</b>.<br>3. Думал, <b>как связать</b> одно с другим.<br>4. <b>Проверял</b>, похож ли ответ на правду.<br><br>Это и есть твой главный инструмент. Он работает на любой задаче.;;;;;;;;;;;;;
3;3;1;1.9_3;theory;Короткая шпаргалка — что считают в каждом сюжете:<br><br><b>Тарифы</b> — складываешь части платы. <b>Шины</b> — переводишь дюймы в мм. <b>Квартира</b> — жилая или общая. <b>Участок</b> — площадь, потом сотки. <b>Листы</b> — кратность или вес. <b>Печь</b> — объём.;;;;;;;;;;;;;
4;4;1;1.9_4;theory;Дальше пойдут задачи <b>вперемешку</b> — как на экзамене, где сюжет заранее не известен.<br><br>Главное на каждой: сначала <b>опознай сюжет</b>, потом вспомни, что в нём считают, и только потом считай.<br><br>Поехали проверим. 👇;;;;;;;;;;;;;
5;5;1;1.9_Q1;training;✏️ <b>Вопрос 1 из 4 — опознай.</b><br><br><i>«Дачный участок 30 на 40 метров. Сколько это соток?»</i><br><br>Что нужно сделать?<br><br>А) Перемножить стороны и разделить на 100<br>Б) Сложить стороны<br>В) Перевести дюймы в мм<br>Г) Найти объём;Перемножить стороны и разделить на 100;Сложить стороны;Перевести дюймы в мм;Найти объём;A;✅ Точно. Это сюжет «участок»: площадь = стороны перемножить, потом в сотки ÷100.;Сложение даст не площадь. Площадь — это умножение сторон.;Дюймы — это сюжет «шины». А тут участок: считаем площадь.;Объём — это печь (три измерения). У участка два: площадь.;;1.9_3;1.9_3;1.9_3
6;6;1;1.9_Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br><i>«Квартира: комната <code>18 м²</code>, комната <code>15 м²</code>, кухня <code>10 м²</code>. Найди жилую площадь.»</i><br><br>А) <code>33 м²</code><br>Б) <code>43 м²</code><br>В) <code>18 м²</code><br>Г) <code>28 м²</code>;33 м²;43 м²;18 м²;28 м²;A;✅ Верно. Жилая = только комнаты: 18 + 15 = 33 м².;Это общая — добавил кухню (18+15+10). Жилая — только комнаты.;Это одна комната. Жилая = обе: 18 + 15.;Похоже, взял комнату и кухню (18+10). Жилая — только комнаты: 18+15.;;1.9_3;1.9_3;1.9_3
7;7;1;1.9_Q3;training;✏️ <b>Вопрос 3 из 4 — не перепутай сюжет.</b><br><br><i>«Парное отделение бани: длина <code>4 м</code>, ширина <code>3 м</code>, высота <code>2 м</code>. Найди объём.»</i><br><br>А) <code>24 м³</code><br>Б) <code>12 м³</code><br>В) <code>9 м³</code><br>Г) <code>14 м³</code>;24 м³;12 м³;9 м³;14 м³;A;✅ Точно. Печь = объём: 4 × 3 × 2 = 24 м³.;Это площадь пола (4×3) — как в участке. Но тут печь, нужен объём: ×высоту.;Это сумма (4+3+2). Объём — умножение: 4 × 3 × 2.;Где-то потерял число. Объём = 4 × 3 × 2 = 24.;;1.9_3;1.9_3;1.9_3
8;8;1;1.9_Q4;main_question;🎯 <b>Главный вопрос блока.</b><br>Здесь не сказано, какой это сюжет. Опознай сам и реши.<br><br><i>«Прямоугольный участок <code>20 м</code> на <code>25 м</code>. Сколько в нём соток?»</i><br><br>А) <code>500 соток</code><br>Б) <code>5 соток</code><br>В) <code>45 соток</code><br>Г) <code>50 соток</code>;500 соток;5 соток;45 соток;50 соток;B;Это площадь в м² (20×25=500). Спросили сотки — подели на 100: 5 соток.;✅ Блок 1 пройден! Площадь 20×25 = 500 м², в сотках ÷100 = 5.;Это сумма сторон (20+25). Нужна площадь: 20×25, потом в сотки.;Поделил на 10, а надо на 100. 500 ÷ 100 = 5 соток.;1.9_3;;1.9_3;1.9_3
9;9;1;1.9_Q4b;main_question_backup;Ещё одна — опознай сюжет и реши.<br><br><i>«Маркировка шины <code>185/60 R14</code>. Найди диаметр диска в мм.»</i><br><br>А) <code>14 мм</code><br>Б) <code>355,6 мм</code><br>В) <code>35,56 мм</code><br>Г) <code>185 мм</code>;14 мм;355,6 мм;35,56 мм;185 мм;B;Это дюймы из маркировки. Спросили мм — переведи: 14 × 25,4 = 355,6.;✅ Блок 1 пройден! Это шины: 14 дюймов × 25,4 = 355,6 мм.;Потерял разряд. 14 × 25,4 = 355,6, не 35,56.;Это ширина шины (первое число). Диаметр диска — третье: 14, переведи в мм.;;;;
10;10;1;1.9_lf;lesson_failed;Не страшно. Это был самый сложный урок — всё вперемешку.<br><br>Главное правило: <b>сначала опознай сюжет</b>, потом вспомни, что в нём считают. Завтра пробежимся ещё раз. 💪;;;;;;;;;;;;;
