ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1_6;1.6_1;theory;Сюжет №5: <b>листы бумаги</b>.<br><br>Знаешь форматы A4, A3? Тут вся задача — в одном простом правиле: каждый следующий формат <b>вдвое меньше</b>. Понял правило — решил всё.<br><br>Поехали.;;;;;;;;;;;;;
2;2;1_6;1.6_2;theory;💡 Главное правило форматов:<br><br>Сложи лист пополам — получишь следующий формат. Номер при этом <b>растёт на 1</b>.<br><br>A0 — самый большой. Сложил → A1. Ещё раз → A2. И так далее.<br><br>Ловушка: <b>чем больше номер, тем меньше лист</b>. A5 меньше A4!;;;;;;;;;;;;;
3;3;1_6;1.6_3;theory;Сколько маленьких листов выходит из большого?<br><br>Каждый шаг номера = <b>в 2 раза больше листов</b>.<br><br>A3 → A4: 1 шаг = <code>2</code> листа.<br>A2 → A4: 2 шага = <code>2 × 2 = 4</code> листа.<br>A1 → A4: 3 шага = <code>2 × 2 × 2 = 8</code> листов.;;;;;;;;;;;;;
4;4;1_6;1.6_4;example;👇 Разберём.<br><br><i>«Сколько листов формата A4 получится из одного листа формата A2?»</i>;;;;;;;;;;;;;
5;5;1_6;1.6_5;example;От A2 до A4 — считаем шаги по номеру: A2 → A3 → A4. Это <b>2 шага</b>.<br><br>Каждый шаг удваивает число листов: <code>2 × 2 = 4</code>.<br><br>Проверка: A4 меньше A2, значит маленьких должно быть несколько — 4, логично. ✅;;;;;;;;;;;;;
6;6;1_6;1.6_Q1;training;✏️ <b>Вопрос 1 из 4.</b><br><br>Какой лист <b>меньше</b> по размеру?<br><br>А) A4<br>Б) A5<br>В) Они одинаковые<br>Г) A5 больше, чем A4;A4;A5;Они одинаковые;A5 больше, чем A4;B;Наоборот. Чем больше номер, тем меньше лист. A5 меньше A4.;✅ Точно. Больше номер — меньше лист. A5 меньше A4.;Разные. Каждый следующий формат вдвое меньше предыдущего.;Наоборот. Больше номер = меньше лист, значит A5 меньше.;1.6_2;;1.6_2;1.6_2
7;7;1_6;1.6_Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br>Сколько листов A4 получится из одного листа A3?<br><br>А) <code>2</code><br>Б) <code>1</code><br>В) <code>3</code><br>Г) <code>4</code>;2;1;3;4;A;✅ Верно. A3 → A4 — это 1 шаг, значит 2 листа.;Один — это если бы форматы совпадали. Но A4 вдвое меньше A3, значит их 2.;3 — это номер формата, а не количество. От A3 до A4 один шаг = 2 листа.;4 — это если бы разница была 2 формата. Тут только 1 шаг: 2 листа.;;1.6_3;1.6_3;1.6_3
8;8;1_6;1.6_Q3;training;✏️ <b>Вопрос 3 из 4 — будь внимателен.</b><br><br>Сколько листов A3 получится из одного листа A1?<br><br>А) <code>2</code><br>Б) <code>3</code><br>В) <code>4</code><br>Г) <code>8</code>;2;3;4;8;C;Удвоил только один раз. От A1 до A3 — два шага (A1→A2→A3), значит 2 × 2 = 4.;3 — это разница номеров плюс что-то. Считай шаги: их 2, значит 2 × 2 = 4.;✅ Точно. A1 → A3 — это 2 шага: 2 × 2 = 4 листа.;8 — это 3 шага. А от A1 до A3 только 2 шага: 2 × 2 = 4.;1.6_3;1.6_3;;1.6_3
9;9;1_6;1.6_Q4;main_question;🎯 <b>Главный вопрос урока.</b><br>От него зависит, засчитан ли урок.<br><br><i>«Сколько листов формата A4 получится из одного листа формата A1?»</i><br><br>А) <code>3</code><br>Б) <code>4</code><br>В) <code>6</code><br>Г) <code>8</code>;3;4;6;8;D;Это разница номеров (4−1). А нужно посчитать шаги и удваивать: 3 шага = 2 × 2 × 2 = 8.;Это 2 шага (×4). А от A1 до A4 — три шага: 2 × 2 × 2 = 8.;Похоже, умножил 3 шага на 2. Но удваивать надо каждый шаг: 2 × 2 × 2 = 8.;✅ Урок засчитан. A1 → A4 — это 3 шага: 2 × 2 × 2 = 8 листов.;1.6_3;1.6_3;1.6_3;
10;10;1_6;1.6_Q4b;main_question_backup;Попробуем проще.<br><br><i>«Сколько листов A4 получится из одного листа A3?»</i><br><br>А) <code>2</code><br>Б) <code>1</code><br>В) <code>3</code><br>Г) <code>4</code>;2;1;3;4;A;✅ Верно. A3 → A4 — один шаг, значит 2 листа.;A4 меньше A3 вдвое, значит их 2, а не 1.;3 — это номер. Количество — это 2 (один шаг удвоения).;4 — это два шага. Тут только один: 2 листа.;;1.6_3;1.6_3;1.6_3
