ID;ID;lesson_id;message_id;stage;text;option_a;option_b;option_c;option_d;correct_answer;feedback_a;feedback_b;feedback_c;feedback_d;return_a;return_b;return_c;return_d
1;1;1_7;1.7_1;theory;Вторая половина сюжета бумаги: <b>вес пачки</b>.<br><br>Это одно из самых частых заданий ОГЭ. И решается оно через то, что ты уже умеешь из прошлого урока — сколько листов выходит из большого.<br><br>Поехали.;;;;;;;;;;;;;
2;2;1_7;1.7_2;theory;💡 Главный факт, который дают в условии ОГЭ:<br><br><b>Лист A0 = ровно 1 м².</b><br><br>А массу бумаги задают так: «масса 1 м² равна <code>80 г</code>». Значит, лист A0 весит <b>80 г</b> — ведь он и есть 1 м².;;;;;;;;;;;;;
3;3;1_7;1.7_3;theory;Дальше — то, что умеешь из прошлого урока.<br><br>Из A0 выходит <b>2 в степени номера</b> листов: A4 → 16 листов, A3 → 8, A5 → 32.<br><br>Масса одного листа = <code>80 ÷ (число листов)</code>.<br>Масса пачки = <b>масса листа × сколько листов в пачке</b>.;;;;;;;;;;;;;
4;4;1_7;1.7_4;example;👇 Разберём настоящее задание ОГЭ.<br><br><i>«Бумагу формата A4 упаковали в пачки по <code>500 листов</code>. Найдите массу пачки, если масса бумаги площадью 1 м² равна <code>80 г</code>. Ответ в граммах.»</i>;;;;;;;;;;;;;
5;5;1_7;1.7_5;example;Шаг 1. Сколько A4 в листе A0? Это 4 шага деления: <code>2 × 2 × 2 × 2 = 16</code> листов.<br><br>Шаг 2. Масса одного листа A4: <code>80 ÷ 16 = 5 г</code>.<br><br>Шаг 3. Масса пачки: <code>5 × 500 = 2500 г</code>.<br><br>Проверка: пачка тяжёлая, в граммах — правдоподобно. ✅;;;;;;;;;;;;;
6;6;1_7;1.7_Q1;training;✏️ <b>Вопрос 1 из 4.</b><br><br>Масса 1 м² бумаги — <code>80 г</code>. Лист A0 равен 1 м². Сколько весит один лист A0?<br><br>А) <code>80 г</code><br>Б) <code>40 г</code><br>В) <code>160 г</code><br>Г) <code>8 г</code>;80 г;40 г;160 г;8 г;A;✅ Точно. A0 = 1 м², а 1 м² весит 80 г. Значит A0 = 80 г.;Поделил пополам зря. A0 — это и есть 1 м², его масса прямо 80 г.;Удвоил зря. A0 равен 1 м², значит ровно 80 г, без умножения.;Поделил 80 на 10 — лишний шаг. A0 = 1 м² целиком, его масса прямо 80 г, делить не на что.;;1.7_2;1.7_2;1.7_2
7;7;1_7;1.7_Q2;training;✏️ <b>Вопрос 2 из 4.</b><br><br><i>«Бумагу A3 упаковали по <code>200 листов</code>. Масса 1 м² = <code>80 г</code>.»</i><br><br>Из A0 выходит 8 листов A3. Найди массу пачки.<br><br>А) <code>80 г</code><br>Б) <code>16 000 г</code><br>В) <code>2000 г</code><br>Г) <code>1600 г</code>;80 г;16 000 г;2000 г;1600 г;C;Это масса листа A0, а не пачки. Надо: 80÷8 = 10 г лист, потом ×200.;Взял 80 г как массу одного листа A3 и умножил на 200. Но сначала надо поделить 80 на 8.;✅ Верно. Лист A3: 80 ÷ 8 = 10 г. Пачка: 10 × 200 = 2000 г.;Близко, но проверь деление: 80÷8 = 10 (не 8). Пачка 10×200 = 2000.;1.7_3;1.7_3;;1.7_3
8;8;1_7;1.7_Q3;training;✏️ <b>Вопрос 3 из 4 — будь внимателен.</b><br><br>Из A0 выходит 16 листов A4. Масса 1 м² = <code>80 г</code>.<br><br>Сколько весит <b>один лист A4</b>?<br><br>А) <code>80 г</code><br>Б) <code>5 г</code><br>В) <code>16 г</code><br>Г) <code>1280 г</code>;80 г;5 г;16 г;1280 г;B;Это масса A0 (всего метра). А лист A4 в 16 раз меньше: 80 ÷ 16 = 5 г.;✅ Точно. 80 ÷ 16 = 5 г. Лист A4 в 16 раз легче, чем A0.;16 — это сколько листов, а не их масса. Массу считаем: 80 ÷ 16 = 5 г.;Умножил вместо деления (80×16). Лист меньше A0, значит легче: 80 ÷ 16 = 5 г.;1.7_2;;1.7_3;1.7_3
9;9;1_7;1.7_Q4;main_question;🎯 <b>Главный вопрос урока.</b><br>От него зависит, засчитан ли урок.<br><br><i>«Бумагу A4 упаковали по <code>500 листов</code>. Масса 1 м² = <code>80 г</code>. Найдите массу пачки в граммах.»</i><br><br>(из A0 выходит 16 листов A4)<br><br>А) <code>40 000 г</code><br>Б) <code>160 г</code><br>В) <code>5 г</code><br>Г) <code>2500 г</code>;40 000 г;160 г;5 г;2500 г;D;Взял 80 г как массу листа A4 и умножил на 500. Но сначала: 80÷16 = 5 г лист.;Удвоил 80 г (80×2=160) вместо деления. Сначала найди лист: 80÷16 = 5 г, потом пачку: 5 × 500 = 2500 г.;Это масса одного листа. А спросили всю пачку — умножь на 500: 5 × 500 = 2500.;✅ Урок засчитан. Лист A4: 80÷16 = 5 г. Пачка: 5 × 500 = 2500 г.;1.7_3;1.7_2;1.7_3;
10;10;1_7;1.7_Q4b;main_question_backup;Попробуем шаг попроще — только один лист.<br><br>Из A0 выходит 8 листов A3. Масса 1 м² = <code>80 г</code>.<br><br>Сколько весит <b>один лист A3</b>?<br><br>А) <code>10 г</code><br>Б) <code>80 г</code><br>В) <code>8 г</code><br>Г) <code>640 г</code>;10 г;80 г;8 г;640 г;A;✅ Верно. 80 ÷ 8 = 10 г.;Это масса A0. Лист A3 в 8 раз меньше: 80 ÷ 8 = 10 г.;8 — это число листов, а не масса. Считаем: 80 ÷ 8 = 10 г.;Умножил вместо деления. Лист легче A0: 80 ÷ 8 = 10 г.;;1.7_2;1.7_3;1.7_3
11;11;1_7;1.7_lf;lesson_failed;Ничего страшного. Три шага: сколько листов в A0 → <b>80 поделить на это число</b> → умножить на листы в пачке.<br><br>Завтра вернёмся к этому уроку с начала. 💪;;;;;;;;;;;;;
